"id","project_code","year_of_subsidy_sanct","state_name","state_code","district_name","district_code","agency","supported_by","beneficiary_name","project_address","current_status","project_cost","amount_sanct"
0,"2010-AP-28-42","2010-11","Andhra Pradesh","28","Krishna","510","APEDA","nan","AP State Agro Inds.","nan","Completed",0.0,990.0
1,"2006-AP-28-43","2010-11","Andhra Pradesh","28","Chittoor","503","APEDA","nan","AP State Agro Inds. Dev. Corpn","nan","Completed",0.0,990.0
2,"2010-AP-28-38","2010-11","Andhra Pradesh","28","Visakhapatanam","520","APEDA","nan","Deptt. Of Horticulture","nan","Completed",0.0,25.0
3,"2007-AS-18-02","2007-08","Assam","18","Kamrup Metro","618","APEDA","nan","AIDC","nan","Completed",0.0,594.0
4,"2013-AS-18-01","2013-14","Assam","18","Karimganj","293","APEDA","nan","ASAMB","Assam State Agricultural Marketing BoardRam Krishna Mission Road,Ulubari,Guwahati â€“ 781 007","Under Implementation",917.69,800.0
5,"2007-GJ-24-07","2007-08","Gujarat","24","Bharuch","442","APEDA","nan","GAIC","nan","Completed",0.0,550.0
6,"2009-GJ-24-05","2009-10","Gujarat","24","Bhavnagar","443","APEDA","nan","GAIC","Gujarat Agro Industries Corp. Gujarat Civil Supplies Buidling,2nd Floor, B-Wing, Ch-Road, Sector -10-A,Gandhinagar â€“ 382 010,Gujarat","Completed",0.0,623.9
7,"2009-GJ-24-06","2009-10","Gujarat","24","Kachchh","449","APEDA","nan","GAIC","nan","Completed",0.0,7.05
8,"2011-GJ-19","2011-12","Gujarat","24","Vadodara","461","APEDA","nan","GSAMB","nan","Completed",0.0,643.0
9,"2011-GJ-20","2011-12","Gujarat","24","Narmada","452","APEDA","nan","GSAMB","Gujarat State Agricultural Marketing ","Completed",0.0,829.0
10,"2011-GJ-22","2011-12","Gujarat","24","Surat","459","APEDA","nan","GSAMB","nan","Completed",0.0,625.0
11,"2012-GJ-18","2012-13","Gujarat","24","Dohad","445","APEDA","nan","GSAMB","nan","Completed",0.0,645.97
12,"2015-GJ-6","2015-16","Gujarat","24","Gandhinagar","446","APEDA","nan","GSAMB","Gujarat State Agricultural Marketing ","Under Implementation",0.0,539.19
13,"2015-GJ-24-64","2015-16","Gujarat","24","Surat","459","APEDA","nan","Gujarat Stat eAGricultural Mrketing Board","Jivraj Mehta Bhawan, Gandhi Nagar, Gujarat","Under Implementation",1744.0,1000.0
14,"2015-GJ-24-61","2015-16","Gujarat","24","Surat","459","APEDA","nan","Gujarat State Agricultural Marketing Board","Dr Jivraj Mehta Bhawan, Gandhinagar ","Under Implementation",1744.0,1000.0
15,"2009-HP-02-23","2009-10","Himachal Pradesh","2","Hamirpur","17","APEDA","nan","HPMC","Horticultural Produce Marketing &Processing Corporation Ltd. Nigam ViharShimla â€“ 171 002Himachal Pradesh","Completed",0.0,353.42
16,"2009-HP-02-26","2009-10","Himachal Pradesh","2","Kinnaur","19","APEDA","nan","HPMC","nan","Under Implementation",0.0,129.7
17,"2009-HP-02-30","2009-10","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,247.27
18,"2009-HP-02-31","2009-10","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,163.12
19,"2009-HP-02-32","2009-10","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","nan","Completed",0.0,431.55
20,"2011-HP-02-24","2011-12","Himachal Pradesh","2","Bilaspur","15","APEDA","nan","HPMC","nan","Under Implementation",0.0,435.08
21,"2011-HP-02-25","2011-12","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","nan","Under Implementation",0.0,165.02
22,"2011-HP-02-27","2011-12","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","nan","Completed",0.0,163.12
23,"2011-HP-02-28","2011-12","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,174.44
24,"2011-HP-02-29","2011-12","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,0.0
25,"2012-HP-02-5","2012-13","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","Nigam Vihar, Shima","Completed",0.0,506.89
26,"2012-HP-021-5","2012-13","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","Nigam Vihar, Shima","Completed",0.0,503.8
27,"2016-HP-02-1","2015-16","Himachal Pradesh","2","Chamba","16","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",466.16,394.13
28,"2016-HP-02-4","2015-16","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",598.58,487.02
29,"2017-HP-02-11","2015-16","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",974.05,800.0
30,"2007-KA-29-34","2007-08","Karnataka","29","Koppal","543","APEDA","nan","KAPPEC","nan","Completed",0.0,536.5
31,"2011-KA-","2011-12","Karnataka","29","Bidar","529","APEDA","nan","KAPPEC","Karnataka State Agricultural Produce","Under Implementation",0.0,653.0
32,"2011-KA-29-33","2011-12","Karnataka","29","Belagavi","527","APEDA","nan","KAPPEC","Karnataka State Agricultural ProduceProcessing & Export Corporation Ltd.#17, General K.S. Thimayya Road,(Richmond Road),Bangalore â€“ 560025","Under Implementation",0.0,550.0
33,"2012-KA-11","2012-13","Karnataka","29","Haveri","540","APEDA","nan","Dept of Horticulture","nan","Under Implementation",0.0,183.55
34,"2012-KA-19","2012-13","Karnataka","29","Kolar","542","APEDA","nan","Dept of Horticulture","Department of Horticulture","Under Implementation",0.0,212.75
35,"2012-KA-29","2012-13","Karnataka","29","Mysuru","545","APEDA","nan","Dept of Horticulture","Mysore","Under Implementation",0.0,198.75
36,"2012-KA-1","2012-13","Karnataka","29","Belagavi","527","APEDA","nan","KAPPEC","Karnataka State Agricultural Produce","Under Implementation",0.0,744.0
37,"2014-KE-32-36","2014-15","Kerala","32","Ernakulam","555","APEDA","nan","CFRD","nan","Under Implementation",0.0,735.0
38,"2014-KE-32-35","2014-15","Kerala","32","Thiruvananthapuram","565","APEDA","nan","VFPCK","nan","Under Implementation",0.0,430.92
39,"2014-KE-32-37","2014-15","Kerala","32","Wayanad","567","APEDA","nan","VFPCK","nan","Under Implementation",0.0,430.92
40,"2010-MP-23-21","2011-12","Madhya Pradesh","23","Burhanpur","397","APEDA","nan","MPSAMB","nan","Completed",0.0,550.0
41,"2010-MP-23-22","2011-12","Madhya Pradesh","23","Barwani","393","APEDA","nan","MPSAMB","nan","Completed",0.0,550.0
42,"2005-MH-27-15","2005-06","Maharashtra","27","Wardha","498","APEDA","nan","nan","nan","Completed",0.0,18.75
43,"2005-MH-27-17","2005-06","Maharashtra","27","Raigarh","386","APEDA","nan","MAIDC","nan","Under Implementation",0.0,500.0
44,"2006-MH-27-14","2006-07","Maharashtra","27","Nashik","487","APEDA","nan","CONCOR","nan","Completed",0.0,448.41
45,"2007-MH-27-18","2007-08","Maharashtra","27","Hingoli","477","APEDA","nan","MSAMB","nan","Completed",0.0,279.89
46,"2007-MH-27-19","2007-08","Maharashtra","27","Jalgaon","478","APEDA","nan","MSAMB","nan","Completed",0.0,279.89
47,"2007-MH-27-20","2007-08","Maharashtra","27","Latur","481","APEDA","nan","MSAMB","nan","Completed",0.0,223.5
48,"2011-MH-27-08","2011-12","Maharashtra","27","Satara","494","APEDA","nan","MSAMB","Maharashtra State AgricultureMarketing Board,Plot No. R-7, GultekdiChhatrapati Shivaji Market Yard,Pune â€“ 411037","Under Implementation",0.0,702.5
49,"2011-MH-27-10","2011-12","Maharashtra","27","Pune","490","APEDA","nan","MSAMB","nan","Under Implementation",0.0,537.0
50,"2011-MH-27-11","2011-12","Maharashtra","27","Nashik","487","APEDA","nan","MSAMB","nan","Under Implementation",0.0,547.76
51,"2011-MH-27-09","2011-12","Maharashtra","27","Raigarh","386","APEDA","nan","MSWC","Maharashtra State Warehousing Corporation583/B, Market Yard, Gultekdi,Pune - 411037","Under Implementation",0.0,800.0
52,"2013-MH-27-13","2013-14","Maharashtra","27","Raigarh","386","APEDA","nan","MSAMB","nan","Under Implementation",0.0,286.87
53,"2013-MH-27-16","2013-14","Maharashtra","27","Mumbai","482","APEDA","nan","MSAMB","nan","Completed",0.0,322.8
54,"2013-MH-27-12","2013-14","Maharashtra","27","Pune","490","APEDA","nan","MSWC","nan","Under Implementation",0.0,800.0
55,"2014-MH-21","2014-15","Maharashtra","27","Thane","497","APEDA","nan","APMC","nan","Under Implementation",0.0,800.0
56,"2014-MH-17","2014-15","Maharashtra","27","Parbhani","489","APEDA","nan","MSWC","Maharashtra State Warehousing ","Completed",0.0,800.0
57,"2015-MZ-15-04","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","nan","Under Implementation",0.0,800.0
58,"2015-MZ-15-62","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","Aizwal Mizoram","Under Implementation",944.69,800.0
59,"2015-MZ-15-65","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","Aizwal Mizoram","Under Implementation",944.69,800.0
